smiles_std,cos2_mollogp_proxy,neoplastic_80_rule_proxy,x3v_chi3v_proxy
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,0.37510438559604753,1,4.559747055693302
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,0.41046795574926576,1,4.27851957850971
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,0.25407414520464383,0,4.972432894378644
CCOc1ccc2ccc(=O)oc2c1,0.5345968248041955,1,1.9055567243407774
CCc1ccc(O)cc1,0.5618444560908676,0,1.3445885954857826
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0.3977866329140171,1,4.602479445923057
CCc1ccccc1,0.5279932184646948,0,1.251072952541352
CN(C)C,0.7546421302247408,0,0.0
CN(C)C(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0.5335369380553877,0,9.915702257990407
CN(C)C(=S)SSC(=S)N(C)C,0.5496579654606055,1,5.073827930357984
CN(C)C=O,0.8000728166397777,0,0.210818510677892
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0.34914844540234935,1,3.4341296842048092
CN(C)c1ccccc1,0.5849152946716322,0,1.2725913796762816
CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,0.23823793732333595,0,3.3856333979080784
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.7455835587761845,1,4.7208769971295785
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0.6181050707310722,1,3.4808301567419924
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,0.6043709011934583,1,5.256851024211377
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,0.6777191433410059,1,5.3267911941334
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0.5645592215437564,1,5.006836850664758
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,0.5987968247119069,1,6.385909370548719
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.6471475181337707,1,6.149738248658419
CN1CCCC1c1cccnc1,0.5740051661034129,0,2.5896294359397087
CN1CCC[C@H]1c1cccnc1,0.5740051661034129,0,2.5896294359397087
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.4387395423380021,1,4.133637102107907
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,0.6962341352570707,1,6.525528679289914
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,0.5987968247119069,1,6.385909370548719
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,0.6471475181337707,1,6.149738248658419
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@H]3[C@H]1C5,0.6222411250743323,1,6.563602419765041
CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,0.6777191433410059,1,5.3267911941334
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0.6181050707310722,1,3.4808301567419924
CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,0.6333599418328397,1,4.241517310253439
CNC(=O)Oc1ccccc1OC(C)C,0.5345622657172407,1,1.6186094180451804
CNC(C)C(O)c1ccccc1,0.6327588706021937,0,2.070042378653169
CNN,0.8544727402619015,0,0.0
CN[C@@H](C)[C@H](O)c1ccccc1,0.6327588706021937,0,2.070042378653169
CO,0.8088564114642041,0,0.0
COC(=O)CCC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,0.5237610353321474,0,9.609077547601826
COC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0.5237610353321474,0,9.63482988051023
COC(=O)CCCCCC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,0.38955000489705843,0,10.337630938195101
COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0.38955000489705843,0,10.363383271103503
COC(=O)Cc1ccc(O)cc1,0.6570912385420339,0,1.5124729181819974
COC(=O)Nc1nc2ccccc2[nH]1,0.5862122731582823,1,1.7952348207855333
COC(=O)c1ccc(N)cc1,0.6628130887735952,0,1.3317812688677748
COC(=O)c1ccc(O)cc1,0.6492759907265069,0,1.2884023776378852
COC(=O)c1ccccc1C(=O)OC,0.6403236191970241,1,1.737682652331105
COC(=O)c1ccccc1O,0.6492759907265069,0,1.309358947710324
COC(=O)c1cccnc1,0.6830930794995322,0,1.0826346035095742
